TIME,PDCSAP_FLUX
3193.2023016495077,15280.458
3193.2227333896517,15269.9375
3193.243165129803,15278.259
3193.263596869714,15285.923
3193.284028609167,15287.054
3193.3044603486196,15272.23
3193.3248920878395,15280.016
3193.3453238268194,15277.13
3193.3657556655744,15274.563
3193.386187304088,15271.018
3193.406619142377,
3193.427050880666,15285.738
3193.447482518488,15294.237
3193.4679143560716,15296.829
3193.488345993661,15292.844
3193.508777730778,15293.455
3193.5292095679033,
3193.5496412045613,
3193.570073,
3193.5905047776396,
3193.610936413832,
3193.631368149785,
3193.651799985513,
3193.672231621007,14781.632
3193.692663356269,14889.2295
3193.7130951912914,15084.517
3193.7335268260867,15227.737
3193.7539585608756,15289.815
3193.774390395207,15275.403
3193.7948221295374,15284.687
3193.815253863395,15285.565
3193.8356855972597,15287.9795
3193.8561173308917,15281.804
3193.8765491640515,15287.162
3193.896980797217,15285.951
3193.9174125303834,15281.383
3193.9378443630776,15283.254
3193.9582759955447,15281.695
3193.9787077277797,15277.366
3193.9991395597754,15299.591
3194.019571191777,15276.677
3194.0400029233133,15282.388
3194.0604347548433,15289.345
3194.080866386146,15289.939
3194.101298117217,15285.779
3194.1217299480486,15282.236
3194.142161578653,
3194.1625933090254,15285.71
3194.1830251391584,15296.048
3194.203456869065,15302.456
3194.223888598972,15303.074
3194.2443203284056,15287.691
3194.2647520578466,15295.025
3194.285183786822,15294.634
3194.305616,15294.07
3194.326047144532,15285.774
3194.3464789730424,15278.25
3194.366910701312,15289.865
3194.3873423293553,15289.037
3194.407774,15299.016
3194.4282058849712,15287.075
3194.448637512549,15289.845
3194.4690693396624,15298.947
3194.489501066768,15296.989
3194.509932693647,15299.321
3194.530364520295,15285.933
3194.550796246702,15294.42
3194.5712278728824,15291.357
3194.5916596990646,15291.732
3194.612091424773,15292.139
3194.632523150489,
3194.652954875739,15300.861
3194.6733866009818,15299.175
3194.693818,15294.845
3194.714250150777,15303.378
3194.7346817753278,15301.938
3194.7551135996473,15295.939
3194.775545323966,15305.601
3194.795976947811,15303.061
3194.816408771665,15298.878
3194.836840495045,15290.456
3194.857272118432,15316.501
3194.8777039415872,15290.262
3194.898135664509,15286.214
3194.918567287423,15300.478
3194.9389991098797,15301.837
3194.959430732102,15296.962
3194.979862454318,15293.163
3195.0002942763094,15345.037
3195.0207258980663,15307.127
3195.041157619584,15299.36
3195.0615894408766,15306.625
3195.0820211619284,15310.009
3195.1024528829876,15319.536
3195.122884603581,
3195.1433163241672,15302.991
3195.163748044528,15308.261
3195.1841797646557,15298.841
3195.2046114845434,15303.866
3195.2250433042063,15302.744
3195.245474923635,15299.062
3195.265906643057,15295.791
