TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,SAP_QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2
3157.2214940313424,0.0055109113,149180,12836.998,3.9416933,1864.6199,0.6833376,15281.255,4.7393336,0,,,,,967.6270171685228,0.0004925991,785.3036789429566,0.00038748523,-0.39296627,-0.09424155
3157.2419264331984,0.005509713,149181,12822.961,3.9385204,1864.1324,0.68565524,15279.87,4.736116,0,,,,,967.6020863155459,0.0004946757,785.302813463398,0.0003875216,-0.415148,-0.09488048
3157.2623589345894,0.0055085146,149182,12815.95,3.9378676,1862.7905,0.6800977,15288.832,4.734695,0,,,,,967.5770950080434,0.0004964981,785.3015378492623,0.0003872771,-0.43836954,-0.096296124
3157.282791235506,0.0055073155,149183,12781.769,3.9336047,1864.5057,0.68467945,15272.87,4.7277217,0,,,,,967.549910094966,0.0004996871,785.2996907790904,0.0003878864,-0.4625962,-0.09808939
3157.3032237355,0.0055061155,149184,12776.1875,3.9315834,1863.688,0.68531936,15282.038,4.7221346,0,,,,,967.5261335622399,0.000501188,785.3000022118374,0.0003872458,-0.48479345,-0.09739617
3157.3236561354934,0.0055049155,149185,12762.768,3.9341025,1862.8899,0.6842496,15285.206,4.720886,0,,,,,967.5021421275322,0.00050373666,785.2991538570525,0.00038745147,-0.5070279,-0.097703315
3157.344088534548,0.0055037146,149186,12753.16,3.930665,1865.3634,0.6821324,15297.941,4.7085853,0,,,,,967.4754352885695,0.00050653453,785.2974121938095,0.0003874954,-0.5305077,-0.09946199
3157.3645209331444,0.005502513,149187,12960.901,3.950589,1863.6633,0.6880075,,,1048576,,,,,967.8660836274412,0.00047862224,785.3272875866217,0.0003859777,-0.1401227,-0.066455245
3157.384953331275,0.0055013113,149188,13024.367,3.9546075,1861.0446,0.68704164,15282.599,4.7470946,0,,,,,967.9365134646328,0.0004752479,785.3325236874509,0.00038584587,-0.07877336,-0.05776217
3157.4053857289327,0.005500109,149189,13022.47,3.9535193,1862.2024,0.68037236,15283.157,4.748453,0,,,,,967.9119052921103,0.0004758701,785.330008427903,0.00038587928,-0.10542096,-0.060377106
3157.425818126132,0.005498906,149190,13020.496,3.954965,1861.6514,0.68316865,15279.163,4.751979,0,,,,,967.8964847237744,0.00047571334,785.3294181359515,0.00038538658,-0.12573431,-0.06148409
